date,close
2010-01-01,0.0
2010-01-04,0.0
2010-01-07,0.0
2010-01-10,0.0
2010-01-13,0.0
2010-01-16,0.0
2010-01-19,0.0
2010-01-22,0.0
2010-01-25,0.0
2010-01-28,0.0
2010-01-31,0.0
2010-02-03,0.0
2010-02-06,0.0
2010-02-09,0.0
2010-02-12,0.0
2010-02-15,0.0
2010-02-18,0.0
2010-02-21,0.0
2010-02-24,0.0
2010-02-27,0.0
2010-03-02,0.0
2010-03-05,0.0
2010-03-08,0.0
2010-03-11,0.0
2010-03-14,0.0
2010-03-17,0.0
2010-03-20,0.0
2010-03-23,0.0
2010-03-26,0.0
2010-03-29,0.0
2010-04-01,0.0
2010-04-04,0.0
2010-04-07,0.0
2010-04-10,0.0
2010-04-13,0.0
2010-04-16,0.0
2010-04-19,0.0
2010-04-22,0.0
2010-04-25,0.0
2010-04-28,0.0
2010-05-01,0.0
2010-05-04,0.0
2010-05-07,0.0
2010-05-10,0.0
2010-05-13,0.0
2010-05-16,0.0
2010-05-19,0.0
2010-05-22,0.0
2010-05-25,0.0
2010-05-28,0.0
2010-05-31,0.0
2010-06-03,0.0
2010-06-06,0.0
2010-06-09,0.0
2010-06-12,0.0
2010-06-15,0.0
2010-06-18,0.0
2010-06-21,0.0
2010-06-24,0.0
2010-06-27,0.0
2010-06-30,0.0
2010-07-03,0.0
2010-07-06,0.0
2010-07-09,0.0
2010-07-12,0.0
2010-07-15,0.0
2010-07-18,0.0
2010-07-21,0.0
2010-07-24,0.0
2010-07-27,0.0
2010-07-30,0.0
2010-08-02,0.0
2010-08-05,0.0
2010-08-08,0.0
2010-08-11,0.0
2010-08-14,0.0
2010-08-17,0.0
2010-08-20,0.07
2010-08-23,0.07
2010-08-26,0.07
2010-08-29,0.06
2010-09-01,0.06
2010-09-04,0.06
2010-09-07,0.06
2010-09-10,0.06
2010-09-13,0.06
2010-09-16,0.15
2010-09-19,0.06
2010-09-22,0.06
2010-09-25,0.06
2010-09-28,0.06
2010-10-01,0.06
2010-10-04,0.06
2010-10-07,0.06
2010-10-10,0.12
2010-10-13,0.1
2010-10-16,0.12
2010-10-19,0.1
2010-10-22,0.11
2010-10-25,0.18
2010-10-28,0.19
2010-10-31,0.19
2010-11-03,0.21
2010-11-06,0.25
2010-11-09,0.36
2010-11-12,0.24
2010-11-15,0.3
2010-11-18,0.28
2010-11-21,0.29
2010-11-24,0.29
2010-11-27,0.29
2010-11-30,0.28
2010-12-03,0.25
2010-12-06,0.23
2010-12-09,0.25
2010-12-12,0.23
2010-12-15,0.23
2010-12-18,0.25
2010-12-21,0.27
2010-12-24,0.25
2010-12-27,0.27
2010-12-30,0.3
